Airlines,Flight Date,COVID Phase,Departure delay (Minutes),Delay Carrier (Minutes)_Dep,Delay Weather (Minutes)_Dep,Delay National Aviation System (Minutes)_Dep,Delay Security (Minutes)_Dep,Delay Late Aircraft Arrival (Minutes)_Dep,Total Flights_Dep,Cancelled Flights,Cancellation Rate (%),Arrival Delay (Minutes),Delay Carrier (Minutes)_Arr,Delay Weather (Minutes)_Arr,Delay National Aviation System (Minutes)_Arr,Delay Security (Minutes)_Arr,Delay Late Aircraft Arrival (Minutes)_Arr,Total Flights_Arr
Alaska Airlines,2018-01-01,Pre-COVID,-1.0,0,0,0,0,0,1,0.0,0.0,-21.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-01-02,Pre-COVID,-4.0,0,0,0,0,0,1,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-01-03,Pre-COVID,-2.0,0,0,0,0,0,1,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-01-04,Pre-COVID,1.0,0,0,0,0,0,1,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-01-05,Pre-COVID,5.0,0,0,0,0,0,1,0.0,0.0,-33.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-01-06,Pre-COVID,-1.0,0,0,0,0,0,1,0.0,0.0,-12.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-01-07,Pre-COVID,-3.0,0,0,0,0,0,1,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-01-08,Pre-COVID,-1.0,0,0,0,0,0,1,0.0,0.0,-22.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-01-09,Pre-COVID,-3.0,0,0,0,0,0,1,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-01-10,Pre-COVID,-5.0,0,0,0,0,0,1,0.0,0.0,-12.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-01-11,Pre-COVID,4.0,0,0,0,0,0,1,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,1.0
Alaska Airlines,2018-01-12,Pre-COVID,87.0,0,87,63,0,0,1,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-01-13,Pre-COVID,-10.0,0,0,0,0,0,1,0.0,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-01-14,Pre-COVID,-8.0,0,0,0,0,0,1,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-01-15,Pre-COVID,-8.0,0,0,0,0,0,1,0.0,0.0,-14.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-01-16,Pre-COVID,2.0,0,0,0,0,0,1,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,1.0
Alaska Airlines,2018-01-17,Pre-COVID,-7.0,0,0,0,0,0,1,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-01-18,Pre-COVID,37.0,27,0,0,0,0,1,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-01-19,Pre-COVID,-4.0,0,0,0,0,0,1,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-01-20,Pre-COVID,-9.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-01-21,Pre-COVID,-9.0,0,0,0,0,0,1,0.0,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-01-22,Pre-COVID,-18.0,0,0,0,0,0,1,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-01-23,Pre-COVID,-2.0,0,0,0,0,0,1,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-01-24,Pre-COVID,-10.0,0,0,0,0,0,1,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0
