Origin City,Airlines,COVID Phase,Avg Arrival Delay (min),Total Flights
"Atlanta, GA",Delta Airlines,During-COVID,-1.6639634019546683,4809
"Atlanta, GA",Delta Airlines,Post-COVID,4.249363586054233,9035
"Atlanta, GA",Delta Airlines,Pre-COVID,1.2892411277879086,7129
"Atlanta, GA",Southwest Airlines,During-COVID,-0.9922437673130194,1805
"Atlanta, GA",Southwest Airlines,Post-COVID,2.492706645056726,2468
"Atlanta, GA",Southwest Airlines,Pre-COVID,0.6436274509803922,2040
"Austin, TX",American Airlines,Post-COVID,55.94736842105263,19
"Austin, TX",Delta Airlines,Post-COVID,22.0,1
"Austin, TX",Southwest Airlines,During-COVID,-0.404408457040036,2223
"Austin, TX",Southwest Airlines,Post-COVID,3.594038696182674,5737
"Austin, TX",Southwest Airlines,Pre-COVID,1.8262734584450402,1865
"Austin, TX",Spirit Airlines,During-COVID,-10.0,12
"Baltimore, MD",Southwest Airlines,During-COVID,-0.2836706210746685,2866
"Baltimore, MD",Southwest Airlines,Post-COVID,5.292118317104538,5443
"Baltimore, MD",Southwest Airlines,Pre-COVID,1.7625691604522493,4157
"Baltimore, MD",Spirit Airlines,During-COVID,-5.183206106870229,131
"Baltimore, MD",Spirit Airlines,Pre-COVID,-4.253012048192771,83
"Birmingham, AL",Southwest Airlines,Post-COVID,1.8518518518518519,54
"Boston, MA",Delta Airlines,Post-COVID,-1.0259562841530054,1464
"Boston, MA",Delta Airlines,Pre-COVID,-5.0,2
"Boston, MA",JetBlue Airways,During-COVID,-5.833110814419226,749
"Boston, MA",JetBlue Airways,Post-COVID,11.050320670942279,2027
"Boston, MA",JetBlue Airways,Pre-COVID,9.686406460296096,1486
"Boston, MA",Southwest Airlines,During-COVID,-8.92159559834938,1454
"Boston, MA",Southwest Airlines,Post-COVID,2.2764900662251657,2416
"Boston, MA",Southwest Airlines,Pre-COVID,-3.0518891687657432,1985
"Boston, MA",Spirit Airlines,Post-COVID,9.626984126984127,378
"Bozeman, MT",Southwest Airlines,Post-COVID,-14.222222222222221,9
"Buffalo, NY",Southwest Airlines,During-COVID,-14.952380952380953,21
"Buffalo, NY",Southwest Airlines,Post-COVID,-3.2083333333333335,240
"Buffalo, NY",Southwest Airlines,Pre-COVID,-11.173913043478262,23
"Burbank, CA",Southwest Airlines,During-COVID,4.509316770186335,322
"Burbank, CA",Southwest Airlines,Post-COVID,0.7477592829705506,781
"Burbank, CA",Southwest Airlines,Pre-COVID,1.855072463768116,69
"Charleston, SC",Southwest Airlines,During-COVID,-0.15035238841033674,1277
"Charleston, SC",Southwest Airlines,Post-COVID,1.554011653966831,2231
"Charleston, SC",Southwest Airlines,Pre-COVID,5.323308270676692,931
"Charlotte, NC",American Airlines,During-COVID,-2.838938053097345,2825
"Charlotte, NC",American Airlines,Post-COVID,12.516792071939806,5449
"Charlotte, NC",American Airlines,Pre-COVID,6.454755784061697,3890
"Charlotte, NC",Southwest Airlines,During-COVID,2.6859813084112147,535
"Charlotte, NC",Southwest Airlines,Post-COVID,4.132951289398281,1745
"Charlotte, NC",Southwest Airlines,Pre-COVID,6.688323090430202,1139
"Charlotte, NC",Spirit Airlines,Post-COVID,13.291666666666666,96
"Chicago, IL",American Airlines,During-COVID,4.152496626180837,741
"Chicago, IL",American Airlines,Post-COVID,18.772727272727273,946
"Chicago, IL",American Airlines,Pre-COVID,19.31597222222222,288
"Chicago, IL",Frontier Airlines,During-COVID,-22.0,1
"Chicago, IL",Frontier Airlines,Post-COVID,23.040983606557376,122
"Chicago, IL",Frontier Airlines,Pre-COVID,22.439393939393938,66
"Chicago, IL",Southwest Airlines,During-COVID,-0.7379152348224514,4365
"Chicago, IL",Southwest Airlines,Post-COVID,4.402146727803252,9596
"Chicago, IL",Southwest Airlines,Pre-COVID,4.392811020232458,4646
"Chicago, IL",Spirit Airlines,Post-COVID,-5.0,1
"Chicago, IL",United Airlines,During-COVID,0.6214285714285714,560
"Chicago, IL",United Airlines,Post-COVID,4.768573868488471,2342
"Chicago, IL",United Airlines,Pre-COVID,5.346094946401225,1306
"Cincinnati, OH",Southwest Airlines,Post-COVID,4.938095238095238,210
"Cleveland, OH",Southwest Airlines,During-COVID,-4.517133956386293,1284
"Cleveland, OH",Southwest Airlines,Post-COVID,-1.5096890491212258,2219
"Cleveland, OH",Southwest Airlines,Pre-COVID,-2.0240896358543417,1785
"Columbus, OH",Southwest Airlines,During-COVID,-5.261633919338159,967
"Columbus, OH",Southwest Airlines,Post-COVID,-1.891670459717797,2197
"Columbus, OH",Southwest Airlines,Pre-COVID,-0.7368421052631579,1425
"Dallas, TX",Southwest Airlines,During-COVID,3.5703456640388116,3298
"Dallas, TX",Southwest Airlines,Post-COVID,5.886415265788278,6603
"Dallas, TX",Southwest Airlines,Pre-COVID,5.146760822843107,3257
"Dallas–Fort Worth, TX",American Airlines,During-COVID,1.0068449197860962,4675
"Dallas–Fort Worth, TX",American Airlines,Post-COVID,15.498256163559832,8315
"Dallas–Fort Worth, TX",American Airlines,Pre-COVID,9.171990650564862,5134
"Dallas–Fort Worth, TX",Frontier Airlines,During-COVID,1.0694444444444444,72
"Dallas–Fort Worth, TX",Frontier Airlines,Post-COVID,19.384615384615383,65
"Dallas–Fort Worth, TX",Spirit Airlines,Post-COVID,18.656,125
"Denver, CO",Frontier Airlines,During-COVID,-6.5889423076923075,416
"Denver, CO",Frontier Airlines,Post-COVID,8.281879194630873,1043
"Denver, CO",Frontier Airlines,Pre-COVID,9.570762052877138,643
"Denver, CO",Southwest Airlines,During-COVID,4.412884333821376,3415
"Denver, CO",Southwest Airlines,Post-COVID,9.543175050932456,6381
"Denver, CO",Southwest Airlines,Pre-COVID,4.231302339012417,3463
"Denver, CO",United Airlines,During-COVID,-0.5598086124401914,627
"Denver, CO",United Airlines,Post-COVID,5.538486416558862,3092
"Denver, CO",United Airlines,Pre-COVID,0.740072202166065,277
"Detroit, MI",Delta Airlines,During-COVID,-2.125128205128205,1950
"Detroit, MI",Delta Airlines,Post-COVID,-0.24248447204968945,4025
"Detroit, MI",Delta Airlines,Pre-COVID,-2.2608187134502926,3420
"Detroit, MI",Southwest Airlines,During-COVID,-5.373641304347826,1472
"Detroit, MI",Southwest Airlines,Post-COVID,0.48446917014371815,2157
"Detroit, MI",Southwest Airlines,Pre-COVID,0.8553583168967784,1521
"Detroit, MI",Spirit Airlines,Post-COVID,8.90967741935484,155
"Fort Lauderdale, FL",JetBlue Airways,During-COVID,8.848214285714286,448
"Fort Lauderdale, FL",JetBlue Airways,Post-COVID,21.348484848484848,726
"Fort Lauderdale, FL",JetBlue Airways,Pre-COVID,19.361783439490445,785
"Fort Lauderdale, FL",Southwest Airlines,During-COVID,-4.3826487845766975,2386
"Fort Lauderdale, FL",Southwest Airlines,Post-COVID,6.453057708871662,3483
"Fort Lauderdale, FL",Southwest Airlines,Pre-COVID,0.38703634319970026,2669
"Fort Lauderdale, FL",Spirit Airlines,During-COVID,0.6444073455759599,599
"Fort Lauderdale, FL",Spirit Airlines,Post-COVID,15.622801302931595,1535
"Fort Lauderdale, FL",Spirit Airlines,Pre-COVID,-2.5783132530120483,83
"Fort Myers, FL",Frontier Airlines,Pre-COVID,1.6573426573426573,143
"Fort Myers, FL",Southwest Airlines,During-COVID,1.7467889908256882,545
"Fort Myers, FL",Southwest Airlines,Post-COVID,5.651436993367723,1357
"Fort Myers, FL",Southwest Airlines,Pre-COVID,2.17687074829932,147
