Destination City,Airlines,COVID Phase,Avg Departure Delay (min),Total Flights
"Atlanta, GA",Delta Airlines,During-COVID,0.14647828797008103,4813
"Atlanta, GA",Delta Airlines,Post-COVID,5.921177903243662,9033
"Atlanta, GA",Delta Airlines,Pre-COVID,4.740709577899313,7131
"Atlanta, GA",Southwest Airlines,During-COVID,6.285555555555556,1800
"Atlanta, GA",Southwest Airlines,Post-COVID,9.311871227364184,2485
"Atlanta, GA",Southwest Airlines,Pre-COVID,7.554563492063492,2016
"Austin, TX",American Airlines,Post-COVID,14.0,19
"Austin, TX",Delta Airlines,Post-COVID,17.0,1
"Austin, TX",Southwest Airlines,During-COVID,6.502432551968155,2261
"Austin, TX",Southwest Airlines,Post-COVID,9.162648497554159,5724
"Austin, TX",Southwest Airlines,Pre-COVID,9.917866666666667,1875
"Austin, TX",Spirit Airlines,During-COVID,-8.0,12
"Baltimore, MD",Southwest Airlines,During-COVID,5.9487726787620065,2811
"Baltimore, MD",Southwest Airlines,Post-COVID,9.22939332472801,5423
"Baltimore, MD",Southwest Airlines,Pre-COVID,9.313282001924927,4156
"Baltimore, MD",Spirit Airlines,During-COVID,-2.576923076923077,130
"Baltimore, MD",Spirit Airlines,Post-COVID,-3.0,1
"Baltimore, MD",Spirit Airlines,Pre-COVID,6.156626506024097,83
"Birmingham, AL",Southwest Airlines,Post-COVID,5.907407407407407,54
"Boston, MA",Delta Airlines,Post-COVID,9.719453924914676,1465
"Boston, MA",Delta Airlines,Pre-COVID,1.5714285714285714,7
"Boston, MA",JetBlue Airways,During-COVID,6.574866310160428,748
"Boston, MA",JetBlue Airways,Post-COVID,21.714849531327083,2027
"Boston, MA",JetBlue Airways,Pre-COVID,20.049125168236877,1486
"Boston, MA",Southwest Airlines,During-COVID,8.829436038514443,1454
"Boston, MA",Southwest Airlines,Post-COVID,14.308823529411764,2448
"Boston, MA",Southwest Airlines,Pre-COVID,12.34665991902834,1976
"Boston, MA",Spirit Airlines,Post-COVID,16.392572944297083,377
"Bozeman, MT",Southwest Airlines,Post-COVID,-0.4444444444444444,9
"Buffalo, NY",Southwest Airlines,During-COVID,0.19047619047619047,21
"Buffalo, NY",Southwest Airlines,Post-COVID,11.104166666666666,240
"Buffalo, NY",Southwest Airlines,Pre-COVID,-1.2173913043478262,23
"Burbank, CA",Southwest Airlines,During-COVID,17.774294670846395,319
"Burbank, CA",Southwest Airlines,Post-COVID,10.796895213454075,773
"Burbank, CA",Southwest Airlines,Pre-COVID,11.73913043478261,69
"Charleston, SC",Southwest Airlines,During-COVID,5.653395784543325,1281
"Charleston, SC",Southwest Airlines,Post-COVID,12.317652329749103,2232
"Charleston, SC",Southwest Airlines,Pre-COVID,4.729411764705882,935
"Charlotte, NC",American Airlines,During-COVID,1.532766560396741,2823
"Charlotte, NC",American Airlines,Post-COVID,16.318215203819317,5446
"Charlotte, NC",American Airlines,Pre-COVID,6.356726694915254,3776
"Charlotte, NC",Southwest Airlines,During-COVID,5.668508287292818,543
"Charlotte, NC",Southwest Airlines,Post-COVID,13.171545667447306,1708
"Charlotte, NC",Southwest Airlines,Pre-COVID,9.654991243432574,1142
"Charlotte, NC",Spirit Airlines,Post-COVID,14.0625,96
"Chicago, IL",American Airlines,During-COVID,18.565275908479137,743
"Chicago, IL",American Airlines,Post-COVID,11.315677966101696,944
"Chicago, IL",American Airlines,Pre-COVID,12.322916666666666,288
"Chicago, IL",Frontier Airlines,During-COVID,-14.0,1
"Chicago, IL",Frontier Airlines,Post-COVID,19.229508196721312,122
"Chicago, IL",Frontier Airlines,Pre-COVID,28.46969696969697,66
"Chicago, IL",Southwest Airlines,During-COVID,5.679029304029304,4368
"Chicago, IL",Southwest Airlines,Post-COVID,9.257801047120418,9550
"Chicago, IL",Southwest Airlines,Pre-COVID,8.898224339540926,4618
"Chicago, IL",United Airlines,During-COVID,17.794726930320152,531
"Chicago, IL",United Airlines,Post-COVID,11.994601889338732,2223
"Chicago, IL",United Airlines,Pre-COVID,22.158407798537773,1231
"Cincinnati, OH",Southwest Airlines,Post-COVID,7.395238095238096,210
"Cleveland, OH",Southwest Airlines,During-COVID,7.40234375,1280
"Cleveland, OH",Southwest Airlines,Post-COVID,12.089599279603782,2221
"Cleveland, OH",Southwest Airlines,Pre-COVID,9.84718349135527,1793
"Columbus, OH",Southwest Airlines,During-COVID,6.082529474812433,933
"Columbus, OH",Southwest Airlines,Post-COVID,12.097082953509572,2194
"Columbus, OH",Southwest Airlines,Pre-COVID,9.908134642356242,1426
"Dallas, TX",Southwest Airlines,During-COVID,7.83691115086464,3354
"Dallas, TX",Southwest Airlines,Post-COVID,11.515832328106152,6632
"Dallas, TX",Southwest Airlines,Pre-COVID,10.911855036855037,3256
"DallasFort Worth, TX",American Airlines,During-COVID,7.582389399444326,4679
"DallasFort Worth, TX",American Airlines,Post-COVID,21.37047722081981,8319
"DallasFort Worth, TX",American Airlines,Pre-COVID,12.717429406037,5135
"DallasFort Worth, TX",Frontier Airlines,During-COVID,2.513888888888889,72
"DallasFort Worth, TX",Frontier Airlines,Post-COVID,28.092307692307692,65
"DallasFort Worth, TX",Spirit Airlines,Post-COVID,20.352,125
"Denver, CO",Frontier Airlines,During-COVID,-0.44630071599045346,419
